delta_b,mean_cum,p50,p25,p75
0,0.014799154334038054,0.0,0.0,0.0
1000,0.01631430584918957,0.0,0.0,0.0
2000,0.016948555320648345,0.0,0.0,0.0
3000,0.017899929527836506,0.0,0.0,0.0
4000,0.020718816067653276,0.0,0.0,0.0
5000,0.02251585623678647,0.0,0.0,0.0
6000,0.023361522198731503,0.0,0.0,0.0
7000,0.024277660324171953,0.0,0.0,0.0
8000,0.02441860465116279,0.0,0.0,0.0
9000,0.02470049330514447,0.0,0.0,0.0
10000,0.024770965468639886,0.0,0.0,0.0
11000,0.024911909795630727,0.0,0.0,0.0
12000,0.025088090204369275,0.0,0.0,0.0
13000,0.025299506694855534,0.0,0.0,0.0
14000,0.02558139534883721,0.0,0.0,0.0
15000,0.025828047921071177,0.0,0.0,0.0
16000,0.025898520084566595,0.0,0.0,0.0
17000,0.026180408738548273,0.0,0.0,0.0
18000,0.02684989429175476,0.0,0.0,0.0
19000,0.026920366455250175,0.0,0.0,0.0
20000,0.027026074700493306,0.0,0.0,0.0
21000,0.02727272727272727,0.0,0.0,0.0
22000,0.02758985200845666,0.0,0.0,0.0
23000,0.027906976744186046,0.0,0.0,0.0
24000,0.028118393234672304,0.0,0.0,0.0
25000,0.02854122621564482,0.0,0.0,0.0
26000,0.028646934460887948,0.0,0.0,0.0
27000,0.028999295278365044,0.0,0.0,0.0
28000,0.029281183932346723,0.0,0.0,0.0
29000,0.029844961240310077,0.0,0.0,0.0
30000,0.029915433403805498,0.0,0.0,0.0
31000,0.030162085976039463,0.0,0.0,0.0
32000,0.030866807610993658,0.0,0.0,0.0
33000,0.03372093023255814,0.0,0.0,0.0
34000,0.03386187455954898,0.0,0.0,0.0
35000,0.03400281888653982,0.0,0.0,0.0
36000,0.034178999295278366,0.0,0.0,0.0
37000,0.034178999295278366,0.0,0.0,0.0
38000,0.03428470754052149,0.0,0.0,0.0
39000,0.034355179704016914,0.0,0.0,0.0
40000,0.03460183227625088,0.0,0.0,0.0
41000,0.03470754052149401,0.0,0.0,0.0
42000,0.03495419309372798,0.0,0.0,0.0
43000,0.03509513742071882,0.0,0.0,0.0
44000,0.03520084566596195,0.0,0.0,0.0
45000,0.03551797040169133,0.0,0.0,0.0
46000,0.03555320648343904,0.0,0.0,0.0
47000,0.03558844256518675,0.0,0.0,0.0
48000,0.03579985905567301,0.0,0.0,0.0
49000,0.03611698379140239,0.0,0.0,0.0
50000,0.03629316420014094,0.0,0.0,0.0
51000,0.03653981677237491,0.0,0.0,0.0
52000,0.036575052854122624,0.0,0.0,0.0
53000,0.03668076109936575,0.0,0.0,0.0
54000,0.03731501057082452,0.0,0.0,0.0
55000,0.037350246652572236,0.0,0.0,0.0
56000,0.03742071881606766,0.0,0.0,0.0
57000,0.03756166314305849,0.0,0.0,0.0
58000,0.03756166314305849,0.0,0.0,0.0
59000,0.03766737138830162,0.0,0.0,0.0
60000,0.037843551797040166,0.0,0.0,0.0
61000,0.038019732205778714,0.0,0.0,0.0
62000,0.038407329105003524,0.0,0.0,0.0
63000,0.03861874559548978,0.0,0.0,0.0
64000,0.03883016208597604,0.0,0.0,0.0
65000,0.039112050739957716,0.0,0.0,0.0
66000,0.03925299506694856,0.0,0.0,0.0
67000,0.039358703312191684,0.0,0.0,0.0
68000,0.039499647639182525,0.0,0.0,0.0
69000,0.03971106412966878,0.0,0.0,0.0
70000,0.0412262156448203,0.0,0.0,0.0
71000,0.041578576462297394,0.0,0.0,0.0
72000,0.04193093727977449,0.0,0.0,0.0
73000,0.04207188160676533,0.0,0.0,0.0
74000,0.04224806201550388,0.0,0.0,0.0
75000,0.04238900634249471,0.0,0.0,0.0
76000,0.04330514446793517,0.0,0.0,0.0
77000,0.044291754756871034,0.0,0.0,0.0
78000,0.04503171247357294,0.0,0.0,0.0
79000,0.04580690627202255,0.0,0.0,0.0
80000,0.04700493305144468,0.0,0.0,0.0
81000,0.04894291754756871,0.0,0.0,0.0
82000,0.050387596899224806,0.0,0.0,0.0
83000,0.05091613812544045,0.0,0.0,0.0
84000,0.05207892882311487,0.0,0.0,0.0
85000,0.05384073291050035,0.0,0.0,0.0
86000,0.05613107822410148,0.0,0.0,0.0
