"blockNumber","transactionHash","logIndex","address","event","agentId","clientAddress","indexedTag1","feedbackIndex","value","valueDecimals","tag1","tag2","endpoint","feedbackURI","feedbackHash"
"24341987","0x179ddb9485e5c940e716f60353cfc839d003ed5e3491f246d08c556cb7cafa6a","240","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","6888","0x534Bd92fE6BeF30660477c9C49ab5090346CF200","0xa8dae9b555011d119186698e9c3ac10ea4db14c9780aa0d040dd47e9bfc6f41f","1","90","0","Good","Good","","","0x0000000000000000000000000000000000000000000000000000000000000000"
"24342012","0xa0ad80ad3c97d940b633837cd3a79408062f26b304f0646930ee37bc4e98a597","472","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9382","0xF9D1D63F362bBF1EE08aB9AcB36fe74aFC48d5f1","0x82691774c60aa33ce2325a6a3b47912cef6f9277bb53f87bd2527ef06f75456b","1","100","0","defai","erc8004","","ipfs://QmaSAzpTi64M2ZfYLWz5MxcG6FCVSNzQ9dDwAQSUAnSxD5","0xcab114f87dd73e39e9af6044f72adbb12e5f06ffb73444a2741a980435bae8fb"
"24342046","0x0fe96d968ebefe7c37b03041aa60fb7784e77b2b83e19ecf70f21273456ebcde","208","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9382","0x831A97E402955EFB4C72E96B80490A4E45a1D02c","0x263162b25514e5a51281ed4797f756b2d887d119c9c0f797e00e588b50363fc6","1","100","0","x402","erc8004","","ipfs://QmcH3XDJ8uNHtSonTFbbgkeboe8mi2dEnskFtTdUv7sMmU","0xbf446d78268c3a98df13e5abcfd6097d955fef4e1574eebaba9c512f2a908dc8"
"24342098","0x84e689e3281dc0af8c6b9cd50e5a9ad62f1e9f0049a8b4fb13b244f6fa1d4b17","1127","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9402","0x88a4811d2a888528c442bB8dEc8EB8e2A84D4200","0xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470","1","100","0","","","","data:application/json;base64,eyJjb21tZW50IjoiT25lIG9mIHRoZSBtb3N0IHVzZWZ1bCBhZ2VudHMgb24gWCEiLCJzY29yZSI6MTAwLCJ0YWcxIjpudWxsLCJ0YWcyIjpudWxsLCJ0aW1lc3RhbXAiOjE3Njk3MDg4MTAyMjgsInZlcnNpb24iOiIxLjAifQ==","0xf4bd71f869645c8c31d8205b3cfd39fd1b9ecfb55aa58979dfd18299f4d824c2"
"24342135","0x93b0e93a5742d43367a9efcd19b5ce8cd44d7b5ce58eeaa7163d79177b545fd3","827","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9382","0x2D9C94d1Ad2878ed419b0258375d5cF2f84aaC7a","0x263162b25514e5a51281ed4797f756b2d887d119c9c0f797e00e588b50363fc6","1","100","0","x402","defai","","data:application/json;base64,eyJjb21tZW50IjoiSXQncyB0aGUgYmVzdCBBSSBBZ2VudCBJJ3ZlIHVzZSIsInNjb3JlIjoxMDAsInRhZzEiOiJ4NDAyIiwidGFnMiI6ImRlZmFpIiwidGltZXN0YW1wIjoxNzY5NzA5MjUzNDEyLCJ2ZXJzaW9uIjoiMS4wIn0=","0xb657f8d60f0c453286078c4376e3c7f42912d747de7a8f2074d5599f61b7c348"
"24342215","0x127feec6260e1e9671abfd09fae4c9aa417b34b83d5ed4ad38cca1c71e662807","304","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9380","0x89C163d7624186e0F9a3b25eFC275B57B9A28022","0x0c64da3764320ce6d9d2191635f418a025b0d4357e8329a8d9baf5bf3ff05d5b","1","100","0","helpful","","","data:application/json;base64,eyJjb21tZW50IjoiQmVzdCBhZ2VudCBvbiBBQ1AhIiwic2NvcmUiOjEwMCwidGFnMSI6ImhlbHBmdWwiLCJ0YWcyIjpudWxsLCJ0aW1lc3RhbXAiOjE3Njk3MTAyMjE3MjQsInZlcnNpb24iOiIxLjAifQ==","0x9d20212a603cda107552e6c583c1dc7d7456f8189a766f72adfa20158bc2d823"
"24342232","0x4133b4a6d522c87721f48fdbddb51dc2f01ef1fa58de949d4ac2bffe60a23775","336","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","6888","0x5aC69C26a15CfaAeB066043Dcc932F7D01FAF182","0xb97736c8d796f237d6cea6fcf3f5a2e7c5950dfcba16d89da0160eb0511b8fee","1","100","0","Smart","SOTA","","data:application/json;base64,eyJjb21tZW50IjoidGhlIGJlc3QgY3J5cHRvIEFJIGFnZW50IGkndmUgZXZlcnkgdXNlZCIsInNjb3JlIjoxMDAsInRhZzEiOiJTbWFydCIsInRhZzIiOiJTT1RBIiwidGltZXN0YW1wIjoxNzY5NzEwNDMyODI4LCJ2ZXJzaW9uIjoiMS4wIn0=","0x732ae6947045c842963b4d5174cccc4f83a4e36ab2d274f3de34252a456b6f36"
"24342240","0x2f976b3a044c07d50e71d7160c466f0d553f00a25bea6b52334bf234880b8aca","150","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9380","0xB833114B7450C1909ABf20Cb9dA4713f6E8d9046","0x3aa1943dff194b3dce76aa53de592f0d34ccad6ff40cf4b863e7ced200a520ee","1","95","0","useful","","","data:application/json;base64,eyJjb21tZW50IjoiRXRoeSBtYWtlcyB0cmFkaW5nIGEgbG90IGVhc2llciBmb3IgbWUuIEkgY2FuIHNldCB1cCBteSBvd24gc3RyYXRlZ2llcyBhcyBhdXRvbWF0aW9ucyBhbmQganVzdCBsZXQgdGhlbSBydW4gd2l0aG91dCBoYXZpbmcgdG8gd2F0Y2ggdGhlIG1hcmtldCBhbGwgZGF5LiBsb3ZlIGl0LiIsInNjb3JlIjo5NSwidGFnMSI6InVzZWZ1bCIsInRhZzIiOm51bGwsInRpbWVzdGFtcCI6MTc2OTcxMDUyOTU3NywidmVyc2lvbiI6IjEuMCJ9","0xd1f11af012300432b51a70c235f77b0ab6dd820cabbd4523bc183c5c0354cd20"
"24342250","0xa7b051e9107ab4bd9f09400c82c4025935def57f0b2773a6d1edcf31c6c23a50","437","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9750","0x35766BE7Fa027F26717B3b4B4fAf2aE7fE2ec26a","0x69b4fc4359ff162777ccca3cb17e815b14d594e11a238208f019e829c3d7e127","1","100","0","Wonderful","Best Yield","","data:application/json;base64,eyJjb21tZW50IjoiSmVmZiBaeWZhaSBhZ2VudCBpcyB0aGUgYmVzdCBEZUZpIGV4cGVyaWVuY2UgSSBldmVyIGhhZC4gSGUgZmluZHMgdGhlIGJlc3Qgc3RhYmxlY29pbiB5aWVsZHMgb24gYXV0byBtb2RlIGFuZCBhbHNvIGdldHMgdGhlIGJlc3QgZW1pc3Npb25zIGluY2VudGl2ZXMgZnJvbSBUaGlyZGZ5IHByb3RvY29sIGF1dG9tYXRpY2FsbHkgZXZlcnkgVGh1cnNkYXkuIEkgZGVwb3NpdCBvbmNlIGFuZCBnZXQgY29uc3RhbnQgeWllbGQgb24gbXkgc3RhYmxlICsgdGhlIGVtaXNzaW9ucyBpbiBvMzMgd2hpY2ggYXV0byBjb21wb3VuZHMgd2l0aG91dCBkb2luZyBhbnl0aGluZy4gSGUgYWxzbyB2b3RlcyBmb3IgbWUuIEJlc3QgRGVGaSBleHBlcmllbmNlIGV2ZXIuIiwic2NvcmUiOjEwMCwidGFnMSI6IldvbmRlcmZ1bCIsInRhZzIiOiJCZXN0IFlpZWxkIiwidGltZXN0YW1wIjoxNzY5NzEwNjMyMzMwLCJ2ZXJzaW9uIjoiMS4wIn0=","0xc9358e295ae83e2445e0d34e2b60ecb454787e1791e9bce4da723f84934874cd"
"24342260","0xc4feaec18a9c4297b83c309dda77c32f14a6957bda94b8fc2e234a136a3a1401","274","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","9750","0xDe73315cc0bF6728Bbb2EAc72683ea7e9e77B84d","0x87ef372fa0bc18c38f3c64ff4da209c8dac3db34cdaf2b35aa10008cbe46579f","1","97","0","defi","yield-optimizati","","ipfs://QmVgWcaznm7fsmyz82j3KxTXHLw2A7cuAnd6YoQDiX1M5n","0x81059350537428addec9e61434b643675b1ddc3b6134f3b4ea0b6b1b6aadd055"
