agentId,tot,top,top1_share
1,1,1,1.0
2,1,1,1.0
3,1,1,1.0
100,2,2,1.0
182,1,1,1.0
200,1,1,1.0
300,1,1,1.0
552,1,1,1.0
553,1,1,1.0
554,1,1,1.0
601,1,1,1.0
651,1,1,1.0
752,1,1,1.0
802,1,1,1.0
808,1,1,1.0
953,1,1,1.0
1152,1,1,1.0
1154,1,1,1.0
1155,1,1,1.0
1202,1,1,1.0
1305,1,1,1.0
1355,1,1,1.0
1378,1,1,1.0
1380,1,1,1.0
1405,1,1,1.0
1602,1,1,1.0
1621,1,1,1.0
1622,1,1,1.0
1623,1,1,1.0
1624,1,1,1.0
1654,1,1,1.0
1657,1,1,1.0
1708,1,1,1.0
1709,1,1,1.0
1710,1,1,1.0
1759,1,1,1.0
1760,1,1,1.0
1761,1,1,1.0
1803,1,1,1.0
1804,1,1,1.0
1805,1,1,1.0
1807,1,1,1.0
1853,1,1,1.0
1854,1,1,1.0
1855,1,1,1.0
1856,1,1,1.0
1857,1,1,1.0
1904,1,1,1.0
1905,1,1,1.0
1907,1,1,1.0
1908,1,1,1.0
1956,1,1,1.0
1957,1,1,1.0
1958,1,1,1.0
2052,1,1,1.0
2053,1,1,1.0
2055,1,1,1.0
2056,1,1,1.0
2080,1,1,1.0
2102,1,1,1.0
2103,1,1,1.0
2104,1,1,1.0
2151,1,1,1.0
2153,1,1,1.0
2280,1,1,1.0
2346,1,1,1.0
2363,1,1,1.0
2364,4,1,0.25
2365,1,1,1.0
2372,1,1,1.0
2375,1,1,1.0
2387,1,1,1.0
2388,1,1,1.0
2389,1,1,1.0
2391,1,1,1.0
2393,3,3,1.0
2394,2,2,1.0
2395,1,1,1.0
2396,1,1,1.0
2397,1,1,1.0
2398,1,1,1.0
2399,1,1,1.0
2400,1,1,1.0
2401,1,1,1.0
2403,1,1,1.0
2404,1,1,1.0
2405,1,1,1.0
2411,1,1,1.0
2415,1,1,1.0
2416,1,1,1.0
2421,1,1,1.0
2423,3,3,1.0
2425,1,1,1.0
2426,1,1,1.0
2433,1,1,1.0
2434,1,1,1.0
2436,1,1,1.0
2438,1,1,1.0
2440,1,1,1.0
2441,1,1,1.0
2442,1,1,1.0
2445,1,1,1.0
2450,1,1,1.0
2455,1,1,1.0
2466,1,1,1.0
2467,2,2,1.0
2468,1,1,1.0
2471,1,1,1.0
2473,1,1,1.0
2474,1,1,1.0
2475,1,1,1.0
2476,1,1,1.0
2479,1,1,1.0
2480,1,1,1.0
2481,2,2,1.0
2482,1,1,1.0
2483,1,1,1.0
2484,1,1,1.0
2485,1,1,1.0
2486,1,1,1.0
2487,1,1,1.0
2488,1,1,1.0
2489,1,1,1.0
2490,1,1,1.0
2494,1,1,1.0
2513,1,1,1.0
2515,1,1,1.0
2517,1,1,1.0
2524,1,1,1.0
2529,1,1,1.0
2530,1,1,1.0
2533,1,1,1.0
2541,1,1,1.0
2548,1,1,1.0
2574,1,1,1.0
2578,1,1,1.0
2579,1,1,1.0
2580,2,2,1.0
2581,1,1,1.0
2582,2,2,1.0
2584,1,1,1.0
2585,1,1,1.0
2586,1,1,1.0
2587,1,1,1.0
2592,1,1,1.0
2610,1,1,1.0
2619,1,1,1.0
2634,1,1,1.0
2639,1,1,1.0
2644,1,1,1.0
2660,1,1,1.0
2670,2,2,1.0
2677,1,1,1.0
2700,1,1,1.0
2701,1,1,1.0
2709,1,1,1.0
2716,2,2,1.0
2727,1,1,1.0
2733,1,1,1.0
2743,1,1,1.0
2761,2,2,1.0
2768,1,1,1.0
2770,1,1,1.0
2814,1,1,1.0
2816,1,1,1.0
2824,1,1,1.0
2830,1,1,1.0
2840,1,1,1.0
2852,1,1,1.0
2855,1,1,1.0
2861,1,1,1.0
