agentId,reg_block,fb_block,ttf_blocks,ttf_days_approx
1,24339925,24481527,141602,19.666944444444443
2,24339925,24481543,141618,19.669166666666666
3,24339925,24481545,141620,19.669444444444444
100,24339936,24481530,141594,19.66583333333333
182,24339939,24481516,141577,19.66347222222222
200,24339939,24481541,141602,19.666944444444443
300,24339942,24426180,86238,11.9775
552,24339950,24426352,86402,12.000277777777777
553,24339950,24426355,86405,12.000694444444445
554,24339950,24426361,86411,12.001527777777778
601,24339953,24426401,86448,12.006666666666666
651,24339955,24426455,86500,12.01388888888889
752,24339955,24426535,86580,12.025
802,24339956,24426560,86604,12.028333333333334
808,24339956,24371141,31185,4.33125
953,24339957,24426684,86727,12.045416666666666
1152,24339964,24426840,86876,12.06611111111111
1154,24339964,24426846,86882,12.066944444444445
1155,24339964,24426852,86888,12.067777777777778
1202,24339965,24426890,86925,12.072916666666666
1305,24339967,24426977,87010,12.084722222222222
1355,24339967,24427030,87063,12.092083333333333
1378,24339967,24481520,141553,19.660138888888888
1380,24339967,24481518,141551,19.659861111111113
1405,24339967,24427079,87112,12.098888888888888
1602,24339968,24427276,87308,12.126111111111111
1621,24339968,24430034,90066,12.509166666666667
1622,24339968,24428345,88377,12.274583333333334
1623,24339968,24428348,88380,12.275
1624,24339968,24428353,88385,12.275694444444444
1654,24339968,24428386,88418,12.280277777777778
1657,24339968,24428405,88437,12.282916666666667
1708,24339970,24428438,88468,12.287222222222223
1709,24339970,24428441,88471,12.287638888888889
1710,24339970,24428446,88476,12.288333333333334
1759,24339978,24428489,88511,12.293194444444444
1760,24339978,24428493,88515,12.29375
1761,24339978,24428502,88524,12.295
1803,24339979,24428528,88549,12.298472222222221
1804,24339979,24428531,88552,12.29888888888889
1805,24339979,24428535,88556,12.299444444444445
1807,24339979,24428548,88569,12.30125
1853,24339979,24428576,88597,12.305138888888889
1854,24339979,24428579,88600,12.305555555555555
1855,24339979,24428582,88603,12.305972222222222
1856,24339979,24428588,88609,12.306805555555556
1857,24339979,24428592,88613,12.307361111111112
1904,24339983,24428620,88637,12.310694444444444
1905,24339983,24428627,88644,12.311666666666667
1907,24339983,24428639,88656,12.313333333333333
1908,24339983,24428643,88660,12.313888888888888
1956,24339985,24428669,88684,12.317222222222222
1957,24339985,24428674,88689,12.317916666666667
1958,24339985,24428679,88694,12.31861111111111
2052,24339985,24428766,88781,12.330694444444445
2053,24339985,24428770,88785,12.33125
2055,24339985,24428781,88796,12.332777777777778
2056,24339985,24428786,88801,12.333472222222222
2080,24339985,24430789,90804,12.611666666666666
2102,24339991,24428817,88826,12.336944444444445
2103,24339991,24428820,88829,12.337361111111111
2104,24339991,24428826,88835,12.338194444444444
2151,24339991,24428878,88887,12.345416666666667
2153,24339991,24428886,88895,12.346527777777778
2280,24339992,24429763,89771,12.468194444444444
2346,24339992,24432074,92082,12.789166666666667
2363,24340026,24428890,88864,12.342222222222222
2364,24340346,24342513,2167,0.3009722222222222
2365,24340664,24428896,88232,12.254444444444445
2372,24340931,24428696,87765,12.189583333333333
2375,24340936,24430458,89522,12.43361111111111
2387,24340947,24428753,87806,12.195277777777777
2388,24340948,24428757,87809,12.195694444444445
2389,24340949,24428762,87813,12.19625
2391,24340950,24428779,87829,12.198472222222222
2393,24340951,24428718,87767,12.189861111111112
2394,24340951,24428722,87771,12.190416666666666
2395,24340951,24428805,87854,12.201944444444445
2396,24340951,24428808,87857,12.202361111111111
2397,24340952,24428811,87859,12.202638888888888
2398,24340953,24428814,87861,12.202916666666667
2399,24340953,24428860,87907,12.209305555555556
2400,24340954,24428863,87909,12.209583333333333
2401,24340954,24428868,87914,12.210277777777778
2403,24340955,24428880,87925,12.211805555555555
2404,24340956,24428884,87928,12.212222222222222
2405,24340956,24428887,87931,12.21263888888889
2411,24340957,24431257,90300,12.541666666666666
2415,24340959,24432140,91181,12.664027777777777
2416,24340962,24429726,88764,12.328333333333333
2421,24340962,24428975,88013,12.224027777777778
2423,24340963,24427812,86849,12.06236111111111
2425,24340965,24433303,92338,12.824722222222222
2426,24340965,24433674,92709,12.87625
2433,24340968,24536298,195330,27.129166666666666
2434,24340968,24428701,87733,12.185138888888888
2436,24340969,24427559,86590,12.026388888888889
2438,24340970,24427563,86593,12.026805555555555
2440,24340972,24427566,86594,12.026944444444444
