agentId,weighted_in_degree
6888,140
22721,129
14645,106
13445,82
10307,48
9382,44
9380,27
22690,24
20014,22
25255,22
22602,21
22771,20
22688,17
12518,16
22669,12
12267,12
12288,12
12276,11
19837,10
13026,10
6817,10
6940,9
9765,9
9750,9
13683,8
13716,8
6996,7
10311,7
20019,6
13640,6
13446,6
14400,6
25465,5
25461,5
25462,5
25463,5
25466,5
23419,5
15681,5
22687,5
25459,5
22693,5
22701,5
22987,5
10303,5
13025,5
22640,5
25464,5
22601,5
22999,5
13427,5
19889,5
23000,5
20018,5
20029,4
22838,4
20020,4
22717,4
20023,4
22715,4
20024,4
9402,4
20016,4
22628,4
22674,4
9377,4
22994,4
19871,4
22673,4
14495,4
25477,4
22995,4
20021,4
23014,4
23006,4
23009,4
23012,4
23013,4
25460,4
20022,4
23017,4
22990,4
23019,4
23020,4
23007,4
23005,4
11277,4
22991,4
22992,4
23004,4
2364,4
23003,4
23001,4
22993,4
22931,4
22996,4
23011,4
23550,3
23010,3
23008,3
21548,3
22997,3
22859,3
5037,3
23015,3
23018,3
22989,3
22691,3
22988,3
4823,3
22703,3
23040,3
22965,3
22945,3
14162,3
22733,3
22747,3
22786,3
22899,3
14588,3
10304,3
13447,3
10841,3
16377,3
15754,3
23645,3
10285,3
19841,3
13382,3
2393,3
2423,3
23580,3
13521,3
13662,3
3967,2
22890,2
22938,2
4213,2
22924,2
3451,2
14401,2
16663,2
3608,2
22896,2
22895,2
22888,2
22783,2
22882,2
22869,2
22862,2
10306,2
22848,2
10557,2
22775,2
22823,2
22797,2
22776,2
22791,2
7370,2
3322,2
16350,2
22969,2
14616,2
14631,2
13685,2
13827,2
13639,2
13456,2
13950,2
13431,2
14850,2
13374,2
14980,2
15058,2
13228,2
13104,2
13041,2
12361,2
15359,2
3265,2
15407,2
12175,2
15426,2
12042,2
11614,2
11608,2
10863,2
22979,2
22750,2
22759,2
4359,2
10299,2
8547,2
4976,2
22629,2
8099,2
5028,2
7986,2
7960,2
5172,2
22582,2
5346,2
21701,2
21699,2
5962,2
6088,2
13786,2
6263,2
6322,2
6349,2
6415,2
6560,2
6571,2
21145,2
6809,2
7866,2
13963,2
13962,2
7627,2
20015,2
7165,2
7443,2
8260,2
4963,2
22745,2
22665,2
22743,2
22741,2
22734,2
4439,2
4441,2
10297,2
22732,2
4461,2
4499,2
22727,2
9841,2
9699,2
22714,2
22706,2
4745,2
9621,2
4796,2
9421,2
22697,2
9417,2
9410,2
18534,2
14046,2
13967,2
9405,2
22682,2
8745,2
8632,2
4947,2
6228,2
14399,2
3237,2
23667,2
2481,2
2670,2
23059,2
23959,2
23922,2
23065,2
23067,2
23068,2
23073,2
2716,2
23953,2
2761,2
2394,2
2927,2
23311,2
23126,2
2582,2
23131,2
24174,2
23928,2
23516,2
2580,2
23193,2
23509,2
23514,2
23167,2
23513,2
2879,2
23512,2
23963,2
23060,2
26345,2
23644,2
2986,2
3173,2
23629,2
3163,2
23643,2
2467,2
3081,2
23606,2
23500,2
23036,2
100,2
23499,2
3047,2
16096,1
16310,1
16761,1
23966,1
16098,1
16752,1
23929,1
16812,1
16773,1
23932,1
16042,1
16903,1
16918,1
16010,1
17058,1
17061,1
16006,1
17067,1
16137,1
16233,1
23964,1
16729,1
16354,1
16301,1
16275,1
23961,1
16272,1
16431,1
16449,1
16454,1
16461,1
16258,1
17134,1
16468,1
16473,1
16241,1
16582,1
16647,1
23958,1
23957,1
16236,1
23946,1
16699,1
23933,1
16189,1
17101,1
17572,1
17209,1
18846,1
23823,1
18381,1
23821,1
18440,1
23802,1
23725,1
23670,1
18669,1
23668,1
23665,1
18699,1
18727,1
18740,1
18909,1
18208,1
18938,1
18966,1
18976,1
18991,1
23664,1
19008,1
19048,1
19053,1
19098,1
19103,1
19124,1
19137,1
23660,1
18211,1
18164,1
17231,1
23925,1
17263,1
17277,1
17307,1
17355,1
17394,1
17473,1
17540,1
17571,1
23927,1
15957,1
17727,1
23926,1
17732,1
17771,1
18145,1
23924,1
17788,1
17812,1
17858,1
17876,1
17903,1
17924,1
17935,1
17967,1
17981,1
23923,1
18017,1
18079,1
16001,1
15718,1
15948,1
24524,1
14632,1
24521,1
14639,1
24516,1
24513,1
24512,1
24509,1
24508,1
14663,1
14717,1
24506,1
14721,1
14724,1
14765,1
24505,1
14824,1
24502,1
24499,1
24200,1
14848,1
24199,1
24198,1
14869,1
14881,1
24171,1
24163,1
14919,1
14940,1
14953,1
24523,1
14620,1
15042,1
24528,1
28363,1
14412,1
14414,1
14415,1
28268,1
14438,1
14453,1
14454,1
14455,1
14481,1
27898,1
14482,1
27897,1
27896,1
14503,1
24541,1
14504,1
14505,1
14506,1
14507,1
24539,1
14546,1
14547,1
14548,1
14586,1
24530,1
24529,1
14589,1
14590,1
24140,1
24139,1
15945,1
15410,1
24003,1
24000,1
15436,1
15437,1
23999,1
15444,1
15465,1
15480,1
15487,1
15489,1
23992,1
23983,1
15508,1
15521,1
15590,1
15646,1
23982,1
15692,1
15713,1
19159,1
23981,1
23973,1
15764,1
15769,1
15792,1
15831,1
15852,1
15872,1
15936,1
15418,1
15408,1
24138,1
24006,1
15072,1
15118,1
24100,1
15132,1
15137,1
24080,1
24079,1
24078,1
15175,1
15180,1
15187,1
15205,1
15206,1
15211,1
15272,1
15276,1
15292,1
15306,1
24061,1
15345,1
15349,1
24038,1
24021,1
15369,1
15375,1
15385,1
24017,1
24012,1
24008,1
19156,1
23634,1
19249,1
23174,1
23206,1
22696,1
23205,1
23200,1
23199,1
23195,1
23183,1
23182,1
23181,1
23179,1
23178,1
23176,1
23175,1
23173,1
23280,1
23172,1
23171,1
23170,1
23169,1
23168,1
23166,1
22744,1
23160,1
23159,1
22748,1
23150,1
22753,1
23149,1
23246,1
23329,1
23659,1
22633,1
22599,1
22600,1
23484,1
23483,1
23482,1
22604,1
23481,1
22610,1
22617,1
22618,1
23476,1
22630,1
22631,1
22634,1
23330,1
22637,1
22639,1
23469,1
23420,1
22660,1
22661,1
23384,1
22662,1
23377,1
23376,1
22670,1
23331,1
22675,1
22761,1
23148,1
22763,1
22932,1
22891,1
23053,1
23052,1
22897,1
22898,1
23051,1
22911,1
22912,1
22923,1
23047,1
23046,1
22930,1
23045,1
23044,1
22769,1
23043,1
23042,1
22966,1
22968,1
23038,1
23037,1
22973,1
22977,1
22978,1
22986,1
23034,1
23032,1
23016,1
23054,1
23058,1
22887,1
22880,1
23132,1
23127,1
22778,1
22780,1
22785,1
23121,1
23106,1
22792,1
23078,1
22798,1
22803,1
22813,1
22820,1
22821,1
23077,1
22830,1
22831,1
22836,1
22861,1
22863,1
22864,1
22870,1
22874,1
22875,1
22876,1
22877,1
22879,1
22598,1
22596,1
22595,1
20812,1
20144,1
20145,1
20260,1
23568,1
20316,1
20390,1
20461,1
20462,1
20530,1
23564,1
20591,1
20765,1
23548,1
20843,1
21267,1
20863,1
23532,1
20889,1
23517,1
20977,1
21002,1
21019,1
21112,1
23515,1
21164,1
21220,1
21236,1
21242,1
20142,1
23569,1
20028,1
23570,1
19281,1
19297,1
23658,1
19324,1
19357,1
23657,1
19441,1
19528,1
19770,1
23656,1
19836,1
23652,1
23635,1
22998,1
19897,1
19934,1
19969,1
23589,1
