agent_i,agent_j,shared_clients
22721,14645,16
14645,22721,16
22688,22690,12
22690,13445,12
13445,22688,12
13445,22690,12
22690,22688,12
12267,12288,12
22688,13445,12
12288,12267,12
12518,12276,7
19837,12276,7
12276,19837,7
12518,19837,7
19837,12518,7
12276,12518,7
22669,19837,5
12518,22669,5
22669,12276,5
6817,6940,5
6940,6817,5
19837,22669,5
22669,12518,5
12276,22669,5
6996,6940,4
6996,6817,4
14400,9382,4
6888,14645,4
6817,6996,4
14645,6888,4
9382,14400,4
6940,6996,4
14645,14400,3
19837,20014,3
19837,20019,3
14400,9380,3
14400,9377,3
14400,13445,3
22669,22693,3
22693,22669,3
9380,14400,3
9382,13026,3
22690,23645,3
9380,14645,3
14400,6888,3
13026,14645,3
10841,23645,3
15681,2364,3
22701,10841,3
6817,22701,3
