clientAddress,first_block,last_block,total_feedback,active_span_blocks
0x0050716e37bc77e6cfc7827d91c84beae923504e,24361276,24361276,1,0
0x00d69eaf25a939a2e8db6238c9ea055ca9633571,24492530,24492545,2,15
0x00fc3e85cbf336058e8a4fab86c392533c9f2752,24361148,24361148,1,0
0x015861aa53850b6b6bc96ce15ddbb96fe653af62,24361104,24361104,1,0
0x0171a8ce564573b834ebf7f5028cd3ab7641736a,24361392,24361392,1,0
0x017dea1c897cf59dec2a00e19e0c4ad32d0d8d7c,24346727,24346727,1,0
0x0196656b3ab87029e66e186cec3685000b00b2bb,24373435,24448112,3,74677
0x01b643ec625bdb35eb84142b26a641169bfe1ee8,24347634,24347634,1,0
0x01e2df20fd03cc201ce96397a2e123ec68d50c7d,24347584,24347584,1,0
0x0266cbdfdc09a48fb2c8e4803371e9dff343e68c,24342286,24342286,1,0
0x02beaa0aa347734069aeec5210f3d0da955000c1,24361364,24361364,1,0
0x02c762a8d9f8df0cecc237a7e3125dc15c2f98c9,24347675,24361183,2,13508
0x02db169c78de0898cdc0531bc0e88df0e891f745,24494141,24494141,1,0
0x0326cc8c9dcdebcad35e64098fdf9bad81436499,24347621,24347621,1,0
0x0394ceb38c1e1b628a3ce21140e085c8850da4a5,24361310,24361310,1,0
0x04257864af2a53f9a0c3fec5908dfe5b9a3345c6,24347694,24347694,1,0
0x04e43778b44d78988f7f26d496417d8ef5c3d423,24361233,24361233,1,0
0x04e881af3586f670574a8b6672f0602b459fdf83,24361199,24361199,1,0
0x0541b20a575347d0b78eda60b575105540530535,24347659,24361158,2,13499
0x076775d9d67f39190a6c5655f23c6537f5ff1b00,24343100,24385837,6,42737
0x07a116b185c2cf607ea1ee0f20915f1739a10877,24361277,24361277,1,0
0x082c15ded2d8ba0950ebc690a85c08d873778312,24396057,24396057,1,0
0x084b2bc5d196b095edf713ef50f8cbc3aa13ebe0,24346858,24346858,1,0
0x089ed226a36499eff64b71d0ced520c7605f6056,24347150,24347150,1,0
0x08aaf563d325c72e7deccfe6497b2598263525be,24361148,24361148,1,0
0x09310046ee674ac90c0174f0f5f78d92de143b29,24347698,24361236,2,13538
0x095dd36b382740cbf7ed27ea2f53b2ccdced0e2b,24346336,24346344,2,8
0x0aab51d06651b55bb1ee4fc5625f632a0e8731a6,24347707,24347707,1,0
0x0ab0c55443639c5d3a71607fcf96813e93a7bce5,24361276,24361276,1,0
0x0ab8ce596f88067a9948dc0af850167fc7454f49,24347751,24347751,1,0
0x0ad02bde60fa40fd64f288670ccc09579b69e7bd,24383908,24383908,1,0
0x0b9e846bc1bb212a20e2a57e9628fd18f640a05c,24396055,24396055,1,0
0x0bd89d50ae8067aaf882428330288014d1858ec7,24348235,24358076,11,9841
0x0c1b2c659588a99f3c04b33c63a923a52818f1a2,24364544,24364544,1,0
0x0c4b137c237931ba7429fbd17367546136dbb662,24361310,24361310,1,0
0x0d3373101541fd3a6806833dc5f547a6ee3b669d,24345678,24345678,1,0
0x0daa32736d672df0e35a9b43c093169fce7b267d,24344688,24344688,1,0
0x0dfad89ab6bb91897f26b4353c2d051b457b18e2,24342437,24342437,1,0
0x0e3dff2718ededa1599cc09ccdf0b31ad2237e11,24361192,24361192,1,0
0x0e8ae3fb479192ccc294be535e8d49151bbf4920,24347614,24361118,2,13504
0x0e9c7364e5af77bf72273fda5b06d8606bd3f723,24361148,24361148,1,0
0x0eacda5a36fba2d4dada0b4c71f52bb8148a3bd5,24484357,24484367,2,10
0x0ebba5c1a7aefb822e2576d1d0391683f3c6f4f1,24423107,24423109,2,2
0x1056232ff9eef40dd08fa746400e2527d3d3e734,24494447,24494447,1,0
0x1117ba404a57af8d5b902e86226ef3f17eb2eaa7,24347623,24347623,1,0
0x11adbc1b3fd5cb5f29b0052b4affe725645b5e4c,24360227,24360227,1,0
0x121e33197fa468de29e294e66be1a72e89a8472e,24345453,24345453,1,0
0x129727854be08c0e195383043d6bd5bc1810ff15,24345558,24345558,1,0
0x12a5f14360e82c8c06fccabe60ed0cc096aba5fe,24587749,24587754,2,5
0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,24480324,24601523,377,121199
0x137c46304cc4593065e9832aa2dab7c698db4d97,24347754,24347754,1,0
0x13a6d4b1daf00b8cc466179175550222b2719be7,24448171,24448174,2,3
0x13ad7bf04aa7215a76a5c713a85b20b97773747f,24361148,24361148,1,0
0x13cf0934354939a411c0db6581505f7d1ad6639a,24347334,24347334,1,0
0x13d15fad32572109e448fe51e06c86a58287aad1,24348965,24348965,1,0
0x14ad5c32f05cec8cc84c5ca09047f4d7745f4740,24361234,24361234,1,0
0x153babf753e306e27861fcc33a56ae015d5c739c,24361310,24361310,1,0
0x15b98aba3b7d469fc00c5cc6a59cb8ff350b4e17,24348866,24348866,1,0
0x15cf1a1bdb9d66ec90cd507cbc38422700e69bf1,24344625,24344625,1,0
0x16f5fda2f7829690d4bdc93286493b9bec1bbb4d,24371313,24415351,2,44038
0x17938a28b82802d1dd71ad978a3c608995b59c72,24347776,24347776,1,0
0x17e3af3775d5c31edf333670c203a210633cbaa5,24574293,24574293,1,0
0x18194459186272fe99a8552bb14957f9e61d1876,24361147,24361186,2,39
0x19e21db3abb299da0873760030b2269b4f8195f1,24348402,24348402,1,0
0x1a0b8eb610ed3489b577892950bb6be36358167d,24357048,24357048,1,0
0x1a74a30b47bd9e02d4d1f9c9f37d2a3c61abae48,24430684,24430684,1,0
0x1b46240e0c6291078a9fb46ffe01f232c231ce8b,24361092,24361092,1,0
0x1b609cf7a9dc0c2f7d5f7c7e9882f37f30d86dd8,24347618,24347618,1,0
0x1b7a70c7d5a906f72f7e4d129a44208500af5935,24343307,24343307,1,0
0x1bde2318543a0bd97da915e0c33470636b0aa2c7,24361277,24361277,1,0
0x1ca4dffbc890ee331d9ec5b61ea6dc3c154ffb2a,24347744,24347744,1,0
0x1d23f14f6605c97a87734ef3c3ad7f39d5336b7c,24347450,24347751,2,301
0x1d689b04a91aaf5dc405e6f9a9b0c072982dcdc4,24471883,24471959,39,76
0x1d6ce8d47d5e910083f15fa629b940092499832e,24347624,24347624,1,0
0x1da271bf0cf36ac3409861d9d909262cfe6bfc69,24361167,24361167,1,0
0x1e0e1e9fecef3b945dbb61ae61d27333c1b3acc8,24347619,24361205,2,13586
0x1e2aaf59f027c71fd047bbfe7e0ebe06a9b18a04,24342382,24344002,3,1620
0x1e7b413f1d5f0be67f8e5e0ee0e515f46e462bd0,24347527,24347527,1,0
0x1ebf9bb2d611dd4e8ed42a4c3face536c4fb2c5d,24342633,24342633,1,0
0x1f2e3a299715c95ad85721ed314543144ca65c89,24375434,24375464,3,30
0x205b5285c8a84eb5b5930af4437f0d66fd7c9ad4,24361148,24361148,1,0
0x20c9b455dc5ef23fe7fd40c7c653c54df038ddad,24347642,24347642,1,0
0x210bfc72056842cb32f141aa5d984a7a98e2f110,24347705,24347705,1,0
0x212b06ee3afaab82c8d1efd2177845f2fa3d6e49,24349398,24349398,1,0
0x213eaae57372a8a883a0850492ef1ee4b2865b74,24347451,24347752,2,301
0x22e7061e09176d6097092948e82858c063dd818e,24348269,24348269,1,0
0x23210ce071f2e1c0ac8deb6b2ff27e645fd727d7,24347635,24347635,1,0
0x232cebb2b68b72eee1b4459dc912a573d80d9854,24345616,24345623,2,7
0x232eddf9b407ea1477c212ac4c5ca806ad1d3671,24347623,24347623,1,0
0x23921a5e69061ada40c56b5c446d0a6005cb6ea3,24355784,24355784,1,0
0x24bd40decdf5a4c5b8960f6ed35d24ed851a740c,24347619,24347619,1,0
0x24ed5ca2bfd575df34cb56e46ebd88d2e80b3eac,24342375,24342375,1,0
0x260815d4aa2a2fffcf0f8eb72194f14ac080a1df,24347701,24347701,1,0
0x2636d9f1604b8e3aa4e004085706ad67c81c8d5d,24342554,24342554,1,0
0x2674d6578c95e6191cffa2b2c234a2bba626a323,24347684,24361202,2,13518
0x26c397bb1abcfcc3155cfebf1687a6e784cba811,24342514,24342514,1,0
0x26f06c75eaaba41c5f52a196d6bd5065596f7f3f,24346461,24346461,1,0
0x271a67f6c0a10bea9843c84c23bbcaa2b5d64273,24347823,24347823,1,0
0x273ca4028abc050d8b6edf2fd5b9bc25d26845be,24346582,24346582,1,0
0x2757ab6586c6b11af657746a6e502523fb167b65,24342688,24342688,1,0
0x2831c0338cc1b60eb4b23e1b3dc3c1da44b86a33,24361233,24361233,1,0
0x285263eb8f323807162ecbdec7ed20ac66f60985,24344665,24344665,1,0
0x28b58dd72761e66f73867cd6610156fa051882cc,24361203,24361203,1,0
0x293ba51b1c75914d3412785d65bf1c34e48ed93d,24344124,24344124,1,0
0x29fdf7915f198dc728247582f3882b3b6a87b6e0,24347805,24347805,1,0
0x2aab9d90d9438fdcb02ed419844e96b04ebb876a,24343242,24343332,2,90
0x2aba080b1ff770256cebd5344694865cc218e0b5,24347704,24347704,1,0
0x2ae94bb28ab2f54c03a1a05c73623549b9a93ef7,24415442,24415442,1,0
0x2c0738b2a76f503497c9a994728056110a768756,24348196,24358234,10,10038
0x2c2057ede2aba3eca467988854bf3f756f8eda26,24361223,24361223,1,0
0x2d3cd6a4642850c970de07f957a09962829bf177,24364505,24593149,2,228644
0x2d7af2d3a439e9e837532076d57576ac8c3b3f13,24342771,24342771,1,0
0x2d9c94d1ad2878ed419b0258375d5cf2f84aac7a,24342135,24342135,1,0
0x2d9eaf1874eb27cf8517b688d8ab3e1ec7591ce6,24342387,24342387,1,0
0x2e37e821f03d3819595ed16ba39bfbe04ce89d7b,24347616,24347616,1,0
0x2e547ad1ffcf46b2290cfeb574d638b33b3072f9,24350466,24350466,1,0
0x2eae6e14dcebb35e2ae83b8d2c128f10d0b0a128,24574266,24574266,1,0
0x2f03e6070eb8190221503081833bdb96a6411e3f,24361277,24361277,1,0
0x2fa385b8cfef2f3a5f54ece7b267d7445ad47253,24344146,24344146,1,0
0x2fba95b6075c507f98caa7c45ae37ed1c6e0fa47,24395947,24395947,1,0
0x30d23c78cd271250a404af33279df8372facdfd8,24531441,24531441,1,0
0x30f7fa697baf566033ca99064ca4fcc91946e2fb,24347759,24347759,1,0
0x3129ca62c47938c205a9acfee8a242fc76005656,24488664,24488664,1,0
0x3294e282f278872f8bb604b393eb0635ef918936,24347644,24361154,2,13510
0x333920604e5548ca3f145c77dd03273a51a307f4,24361148,24361148,1,0
0x33e4177d04b23862489c5adf2549c2b838ababd0,24396037,24396050,2,13
0x34630a13477d49ce72e87d28dc7808e77f3bf131,24532307,24532312,2,5
0x3488ae20e77be83bab8043ea1c191b6feb1050aa,24347190,24347190,1,0
0x34df80f78f2c35f7be498485c05172e4f2b0c36b,24408852,24408860,2,8
0x34e4a66cc19ccc1171ca7df99a0dfb8e67b49a5e,24346548,24346548,1,0
0x35323cacbcda558ad98aa2df70cacffdeec9814b,24599332,24599332,1,0
0x35766be7fa027f26717b3b4b4faf2ae7fe2ec26a,24342250,24342250,1,0
0x35eccece2ad47aca74cc4e3630f7ed30804b8a04,24361239,24361239,1,0
0x360d4ffaa6dc1a0e137cc553eb78722e7f2a1cde,24350706,24350706,1,0
0x360f8c349d96582e79fe04a464081e5b335241a3,24347312,24347312,1,0
0x36d9d0cd8086bcb7fe36977d03db0e85ffc04069,24361158,24361158,1,0
0x36f50c8c7e5c8c59abe5e5d1202b3ea4a7c859ef,24345194,24345194,1,0
0x3700148cbfbdd60885d4b5a16992b285670062b4,24352083,24354563,2,2480
0x373f3f3a2a3f3d327d0187c47a59116003e87a26,24342900,24342900,1,0
0x3752aca27576bc341446eaf3ce5d60b79c1c0085,24348396,24348425,2,29
0x3820e04f4d00a06338b66e9a1c67bc13b7d069d5,24342492,24342492,2,0
0x38df34244db276d37ccbc3fbb5bf860de6078605,24361364,24361364,1,0
0x38e6e8dc1d6ae329898ef96e2aec352471c290c1,24386901,24386901,1,0
0x3a308ae29b79375d89720d3b6c3239d15adb1bd9,24396081,24396081,1,0
0x3a4251b917d0561409385fe4fd54ca22823f5cf9,24361180,24361180,1,0
0x3aa81ac8b6c9f819d26eb80f1613d8683e8b902a,24368399,24368512,2,113
0x3ae1a47bdc30e40893fcaf934ec8bca97092a7a9,24347767,24347767,1,0
0x3bc7f6fac1216a4b536e52e95daebc793709e4f0,24350463,24350463,1,0
0x3c282495fff754f767121fa484e069cca5b30cc4,24345536,24345536,1,0
0x3ceddc7882239ef1f5a373977381d8ff1c3ff437,24390135,24390135,1,0
0x3efe751396e489cccd31a95ff736634c90795b99,24371297,24371297,1,0
0x3f17e300e5289fb5e0cada464dcf69705968da3f,24406422,24406422,1,0
0x3f7b0e42fdaf3f41339bc4338634136df337c36d,24342951,24342951,1,0
0x40320711ae058308e4b1d62cb003b3b45b9dc590,24344412,24344412,1,0
0x41e35a6cf67bbecd5401f1152ccfb8ac9170d9d5,24344819,24344819,1,0
0x41fa89cd020b2fa43561f03a87e5d80d1bbe95ad,24361365,24361365,1,0
0x42392e46a5ef600d36782f69edd02d4e41d45e3d,24352959,24353183,2,224
0x424f51edae3d13507ce22977f3a2bba7dc71096f,24552223,24552230,2,7
0x42e9c498135431a48796b5ffe2cbc3d7a1811927,24371141,24371141,1,0
0x4323a085b26d82f24c0b64e8f984615933644c28,24361218,24361218,1,0
0x43269683aca01b9b264dca7e33d58fdc20d4f846,24497423,24497423,1,0
0x440cf46444c5431f7690252f946816272f9cf73a,24347772,24347772,1,0
0x4535dcea9e9f51046c075184732ef42dd38f6cbd,24396067,24396067,1,0
0x463bf20dbb493fddfb4dbc6087281baa0afe3206,24345606,24345606,1,0
0x46827c4d524e45c9f8096a00e4b4c245671c2a0c,24367227,24367227,1,0
0x46946123ea638cb01020cf319270875b0b82baff,24348180,24358097,9,9917
0x476fff09a555c223e98c1e8571676fcca7af9849,24342432,24342432,1,0
0x47d0b4523b3e0a97662d3b75d711ccdb48791961,24342677,24342677,1,0
0x47e8df9a7a7203522bfccd54752b0d384223b2df,24347452,24347752,2,300
0x489a07d82458c8cfe26dd348ac83614f73deb97f,24346118,24346118,1,0
0x4923d7a718757ce9d63c051fe7ab35881faa08db,24361365,24361365,1,0
0x4930ebbc5a8a9c63a021f33714867cac0339783c,24342346,24342398,6,52
0x49389605c62bad5d5f27cd1558adae2706291e55,24343039,24343039,1,0
0x498c23424b7a97f54c09d0d4b2b532dc941ab046,24347262,24347262,1,0
0x4a3b6301064384ad6b68dc123b2a7ba859094647,24361178,24361178,1,0
